Id,Designator,Package,Quantity,Designation,Price per part,Total per board,Link and Ref
1,U2,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,otter_CH330,0.3163,0.3163,https://lcsc.com/product-detail/USB_CH330N_C108996.html
2,"0101,0001,0100,1000,1100,0010,1010,0110,1110,1001",WS2812B-Sunken,10,WS2812B,0.045,0.45,
3,U1,ESP32-WROOM,1,ESP32-WROOM,3.7,3.7,
4,BT1,Keystone_3009_1x2450-CoinCell,1,Battery_Cell,0.45,0.45,
5,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C15,C19",C_0805_HandSoldering,14,0.1uF,0.00828,0.11592,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21F104ZBCNNNC/1276-1007-2-ND/3886665
6,C13,C_0805_HandSoldering,1,10uF,0.0259,0.0259,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A106KQCLRNC/1276-2405-1-ND/3890491
7,R1,R_0805_HandSoldering,1,10k,0.0075,0.0075,https://www.digikey.com/product-detail/en/bourns-inc/CR0805-JW-103ELF/CR0805-JW-103ELFCT-ND/3592918
8,J5,Penny,1,Penny3,0.01,0.01,
9,J11,Penny,1,Penny2,0.01,0.01,
10,J12,Penny,1,Penny1,0.01,0.01,
11,J13,Penny,1,Penny0,0.01,0.01,
12,J4,SolderWirePad_2x_1mmDrill,1,Serial,n/a,,
13,J7,SolderWirePad_single_1mmDrill,1,Right2,n/a,,
14,J9,SolderWirePad_single_1mmDrill,1,Right4,n/a,,
15,J14,SolderWirePad_2x_1mmDrill,1,Power,n/a,,
16,LS1,XDCR_PKMCS0909E4000-R1,1,PKMCS0909E4000-R1,0.90448,0.90448,https://www.digikey.com/product-detail/en/murata-electronics-north-america/PKMCS0909E4000-R1/490-9647-1-ND/4878401
17,REF***,OSHW-Logo_7.5x8mm_SilkScreen,1,OSHW-Logo_7.5x8mm_SilkScreen,n/a,,
18,"C14,C17",C_0805_HandSoldering,2,4.7uF,0.03268,0.06536,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A475KQFNNNG/1276-6465-1-ND/5958093
19,"C16,C18",C_0805_HandSoldering,2,1uF,0.0266,0.0532,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21B105KAFNFNE/1276-2926-1-ND/3891012
20,J8,Pin_Header_Straight_1x05_Pitch2.54mm,1,Right3,n/a,,
21,R2,R_0805_HandSoldering,1,2k,0.0085,0.0085,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT2K00/RMCF0805JT2K00CT-ND/1942562
22,U4,SOT-223-3_TabPin2,1,TLV1117-33,0.43,0.43,https://www.digikey.com/product-detail/en/texas-instruments/TLV1117-33CDCYR/296-21112-1-ND/1217055
23,J10,USB_Micro-B_Molex_47346-0001,1,USB_B_Micro,0.5629,0.5629,https://lcsc.com/product-detail/USB-Connectors_MOLEX_47346-0001_47346-0001_C132560.html
24,R3,R_0805_HandSoldering,1,0ohm,0,0,
25,U3,SOT-23-5_HandSoldering,1,MCP73831-2-OT,0.4326,0.4326,https://www.digikey.com/product-detail/en/microchip-technology/MCP73831T-2ACI-OT/MCP73831T-2ACI-OTCT-ND/1979802
26,R4,R_0805_HandSoldering,1,22ohm,0.0085,0.0085,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT22R0/RMCF0805JT22R0CT-ND/1942533
27,J1,Pin_Header_Straight_1x04_Pitch2.54mm,1,Left2,n/a,,
28,REF**,Binder,1,Binder,n/a,,
,,,,,,,
,,,1,Circuit board from jlcpcb,0.66,0.66,
,,,,,,,
,,,,,Total per board:,8.23116,
